,index,home,away,hometeam_bid,draw_bid,away_bid,0,1
0,2507,AtikerKonyaspor,Alanyaspor,1.45,3.4,4.55,1,0.6739860773086548
1,2508,ÇaykurRizespor,MKEAnkaragücü,1.75,3.2,3.2,1,0.578112781047821
2,2509,Adanaspor,Hatayspor,2.3,2.8,2.45,2,0.7286208868026733
3,2510,ErzgebirgeAue,JahnRegensburg,2.6,2.9,2.1,2,0.5854747295379639
4,2511,Esbjerg,Aalborg,2.8,2.9,2.0,1,0.512913703918457
5,2513,RubinKazan,DinamoMoscow,1.9,2.6,3.5,1,0.8576490879058838
6,2514,Istra1961,InterZapresic,2.0,3.0,2.7,2,0.5375913381576538
7,2516,RayoVallecano,Eibar,2.4,3.0,2.2,1,0.5068347454071045
8,2517,Lokeren,Gent,4.85,3.9,1.35,2,0.7329501509666443
9,2518,Saint-Etienne,Nantes,1.85,3.0,3.1,0,0.7168306708335876
10,2519,Paderborn,ArminiaBielefeld,1.55,3.45,3.75,2,0.5078603625297546
11,2520,LokomotivaZagreb,SlavenBelupo,1.45,3.4,4.6,1,0.4825302064418793
12,2521,Excelsior,Utrecht,4.15,3.65,1.45,0,0.3989843428134918
13,2522,Brest,Ajaccio,1.45,3.4,4.6,1,0.4632636606693268
14,2523,Palermo,Benevento,1.8,2.85,3.45,0,0.6048395037651062
15,2524,FortunaDüsseldorf,Mainz05,2.4,3.0,2.2,2,0.5118811130523682
16,2525,RedStarFC93,Troyes,2.6,2.7,2.2,2,0.5726988315582275
17,2526,Zaragoza,Cadiz,2.3,2.6,2.65,1,0.5584688186645508
18,2527,Lorient,Lens,2.2,2.7,2.7,1,0.5011934041976929
19,2528,Chateauroux,Sochaux,1.95,2.8,3.0,2,0.3630538582801819
20,2529,Valenciennes,ParisFC,2.7,2.7,2.2,1,0.5238502025604248
21,2530,OrleansLoiret,Nancy,1.9,2.8,3.2,0,0.6539717316627502
22,2531,DundeeUnited,AyrUnited,1.85,3.2,2.9,2,0.48135221004486084
23,2532,CardiffCity,Wolverhampton,3.1,2.75,1.95,2,0.5553215146064758
24,2533,Twente,AjaxII,1.6,3.6,3.4,1,0.8132827281951904
25,2534,LeHavre,Auxerre,1.85,2.9,3.2,1,0.5695018172264099
26,2535,SlaskWroclaw,LechiaGdansk,2.0,2.85,2.9,0,0.464004784822464
27,2536,Clermont,Beziers,1.55,3.1,4.3,1,0.45457249879837036
28,2537,CSMSIaşi,Sepsi,2.25,2.7,2.6,1,0.47350484132766724
29,2538,Teplice,SlovanLiberec,2.9,2.8,2.0,2,0.6842697262763977
30,2539,Mechelen,Beerschot-Wilrijk,1.45,3.4,4.6,1,0.46776288747787476
31,2540,Cambuur,FCEindhoven,1.75,3.3,3.05,2,0.6932002902030945
32,2541,MedipolBaşakşehir,Sivasspor,1.35,3.6,5.5,1,0.8005107045173645
33,2542,SantaClara,Belenenses,1.9,2.9,3.0,2,0.6273165941238403
34,2543,JagielloniaBialystok,ArkaGdynia,1.65,3.1,3.75,1,0.46679699420928955
35,2544,NECNijmegen,Volendam,1.6,3.4,3.5,1,0.509348452091217
36,2545,Unterhaching,Kaiserslautern,1.85,3.2,2.9,2,0.5180588960647583
37,2546,GazelecAjaccio,Niort,2.0,2.8,2.9,0,0.42030131816864014
38,2547,Telstar,AlmereCity,2.3,3.2,2.2,2,0.7149505019187927
39,2548,HelmondSport,SpartaRotterdam,5.0,4.0,1.35,1,0.3415849804878235
40,2549,FCOss,Roda,1.95,3.1,2.75,2,0.8792749047279358
41,2550,MVVMaastricht,AZAlkmaarII,1.55,3.5,3.7,2,0.494110107421875
42,2551,Kayserispor,Trabzonspor,2.9,3.2,1.85,2,0.39690619707107544
43,2552,SolihullMoors,Blackpool,3.3,3.2,1.7,2,0.44575798511505127
44,2553,Dordrecht,RKCWaalwijk,2.0,3.2,2.6,2,0.7663201689720154
45,2554,CFRCluj,Voluntari,1.15,4.4,9.45,1,0.8986455202102661
46,2555,Antalyaspor,Göztepe,2.0,2.9,2.8,1,0.9323019981384277
47,2556,Fiorentina,Juventus,5.0,3.5,1.4,0,0.511403501033783
